aftermarket_value_ratio,Current_Price,USD_MSRP,price_per_piece,Pieces,Minifigures,age_years,Theme_Group,Availability
5.3351117039013,160.0,29.99,0.12707627118644066,236.0,3,17,Licensed,Retail
5.4010802160432085,270.0,49.99,0.10658848614072496,469.0,4,17,Modern day,Retail
3.006012024048096,15.0,4.99,0.06835616438356165,73.0,0,17,Model making,Retail
1.7003400680136027,85.0,49.99,0.07714506172839507,648.0,0,17,Model making,Retail
2.572163475278651,90.0,34.99,0.06703065134099617,522.0,0,17,Model making,Retail
2.500500100020004,125.0,49.99,0.06838577291381669,731.0,0,17,Model making,Retail
2.5787965616045843,9.0,3.49,0.15173913043478263,23.0,1,17,Modern day,Retail
1.5663610315186245,5.4666,3.49,0.11258064516129034,31.0,1,17,Modern day,Retail
1.9054441260744985,6.65,3.49,0.1661904761904762,21.0,1,17,Modern day,Retail
1.4998853868194844,5.2346,3.49,0.1396,25.0,1,17,Modern day,Retail
3.438395415472779,12.0,3.49,0.1661904761904762,21.0,1,17,Historical,{Not specified}
3.1977936962750713,11.1603,3.49,0.14541666666666667,24.0,2,17,Action/Adventure,Retail
4.2099713467048705,14.6928,3.49,0.1836842105263158,19.0,1,17,Historical,{Not specified}
3.1977936962750713,11.1603,3.49,0.13423076923076924,26.0,1,17,Action/Adventure,Retail
2.8653295128939824,10.0,3.49,0.15863636363636366,22.0,1,17,Modern day,Retail
2.292263610315186,8.0,3.49,0.1661904761904762,21.0,1,17,Modern day,Retail
6.268756252084028,188.0,29.99,0.08239010989010989,364.0,5,17,Historical,{Not specified}
4.446223111555778,88.88,19.99,0.1241614906832298,161.0,4,17,Historical,{Not specified}
3.5803450862715676,143.178,39.99,0.07872047244094489,508.0,6,17,Historical,{Not specified}
5.15064383047881,412.0,79.99,0.16225152129817444,493.0,9,17,Historical,{Not specified}
12.507507507507508,124.95,9.99,0.12645569620253164,79.0,3,17,Licensed,Retail
12.87360180090045,257.3433,19.99,0.07216606498194945,277.0,3,17,Licensed,Retail
10.835139189864977,650.0,59.99,0.10828519855595668,554.0,6,17,Licensed,Retail
6.0010010010010015,59.95,9.99,0.111,90.0,3,17,Licensed,Retail
6.753376688344173,135.0,19.99,0.08542735042735042,234.0,4,17,Licensed,Retail
4.251062765691422,170.0,39.99,0.07825831702544031,511.0,4,17,Licensed,Retail
5.000500062507814,399.99,79.99,0.08610333692142087,929.0,10,17,Licensed,Retail
3.400480096019204,169.99,49.99,0.079984,625.0,6,17,Licensed,Retail
4.785745745745746,47.8096,9.99,0.07684615384615384,130.0,2,17,Action/Adventure,Retail
9.008008008008007,89.99,9.99,0.12333333333333334,81.0,4,17,Licensed,Retail
5.08984984984985,50.8476,9.99,0.12182926829268292,82.0,4,17,Licensed,{Not specified}
3.6961230615307654,73.8855,19.99,0.13065359477124183,153.0,2,17,Licensed,{Not specified}
4.602301150575288,92.0,19.99,0.08028112449799196,249.0,5,17,Licensed,{Not specified}
2.750687671917979,110.0,39.99,0.10201530612244898,392.0,2,17,Licensed,{Not specified}
5.201040208041608,260.0,49.99,0.10371369294605809,482.0,3,17,Licensed,Retail
3.8897532785063347,175.0,44.99,0.10438515081206497,431.0,2,17,Licensed,{Not specified}
4.500818330605565,247.5,54.99,0.1167515923566879,471.0,1,17,Licensed,{Not specified}
5.000555617290811,450.0,89.99,0.11276942355889724,798.0,6,17,Licensed,{Not specified}
6.3755312942745235,765.0,119.99,0.11604448742746615,1034.0,7,17,Licensed,Retail
4.667889296432144,139.99,29.99,0.09115501519756838,329.0,3,17,Licensed,Retail
6.50130026005201,325.0,49.99,0.08444256756756757,592.0,2,17,Licensed,{Not specified}
2.7502750275027505,275.0,99.99,0.11336734693877551,882.0,4,17,Licensed,{Not specified}
